content,cleaned_content,score,sentiment,label_used
the costumer service is so bad and not helpful.,costumer service bad helpful,1,negative,negative
"This app is a nice online banking app, worked pretty well too.",app nice online banking app worked pretty well,5,positive,positive
"Aplikasinya mudah digunakan, aktivasinya pun tidak begitu lama",aplikasinya mudah digunakan aktivasinya pun tidak begitu lama,5,positive,positive
"Product is great, feature is great, I use it as a main bank But man, too much useless promo notification that I can't disable.",product great feature great use main bank man much useless promo notification cant disable,3,neutral,neutral
"Terribel app, login aja sulitnya minta ampuuuuuunnn",terribel app login aja sulitnya minta ampuuuuuunnn,1,negative,negative
"Cara buat pindah akun ke perangkat lain sangat sangat sangat merepotkan, benar-benar membuang-buang waktu, mbanking lain tidak ada yang semerepotkan ini, bank lain hanya perlu foto KTP dan selfie saja. Mohon sistem yang tidak berguna ini diubah",cara buat pindah akun ke perangkat lain sangat sangat sangat merepotkan benarbenar membuangbuang waktu mbanking lain tidak ada yang semerepotkan ini bank lain hanya perlu foto ktp dan selfie saja mohon sistem yang tidak berguna ini diubah,1,negative,negative
"app ini sangat berat digunakan di hp android ram 4gb dan iphone 5s, saat digunakan di android ram 6gb, lumayan membantu. Ada baiknya apps tidak dibuat seberat itu, krn tidak semua user menggunakan hp mid-high end",app ini sangat berat digunakan di hp android ram gb dan iphone saat digunakan di android ram gb lumayan membantu ada baiknya apps tidak dibuat seberat itu krn tidak semua user menggunakan hp midhigh end,3,neutral,neutral
"Can't reset password. ""unknown error occured"". Ffs",cant reset password unknown error occured ffs,1,negative,negative
"Saya ingin menyampaikan keluhan... Kenapa akun jenius saya keluar sendiri dari aplikasi dan ketika saya login selalu gagal dan tulisannya ""your sessions has expired. You are now logging out automatly"" .. saya jarang menulis rate di aplikasi tapi ini perlu saya sampaikan biar yang lain tidak download aplikasi ini",saya ingin menyampaikan keluhan kenapa akun jenius saya keluar sendiri dari aplikasi dan ketika saya login selalu gagal dan tulisannya session expired logging automatly saya jarang menulis rate di aplikasi tapi ini perlu saya sampaikan biar yang lain tidak download aplikasi ini,1,negative,negative
"Perhari ini saya coba untuk gunakan jenius tetapi stuck di halaman input pin, mencoba chat dengan crew selalu gagal padahal sudah menunggu antrian sampai 30 menit, coba lewat tlfn pun sulit, mencoba cek ke ig siapa tau ada pemberitahuan terkait kondisi jenius perhari ini tapi tidak ada informasi.",perhari ini saya coba untuk gunakan jenius tetapi stuck di halaman input pin mencoba chat dengan crew selalu gagal padahal sudah menunggu antrian sampai menit coba lewat tlfn pun sulit mencoba cek ke ig siapa tau ada pemberitahuan terkait kondisi jenius perhari ini tapi tidak ada informasi,1,negative,negative
"Ganti HP, di HP baru kelogout trs setelah login, harus tlp CS Tidak ada fitur tambah Authorized device di setting, harus tlp CS Tujuan biar aman tp malah dipersulit, tirulah bank lain yg ganti HP ada pertanyaan detail atau Security via sms no HP",ganti hp di hp baru kelogout trs setelah login harus tlp c tidak ada fitur tambah authorized device di setting harus tlp c tujuan biar aman tp malah dipersulit tirulah bank lain yg ganti hp ada pertanyaan detail atau security via sm hp,2,negative,negative
can't even login into my account,cant even login account,1,negative,negative
session expired?,session expired,2,negative,negative
"Every time update to newest version, there will got some bug that really annoying. Already tried fresh install and clear cache still got the same result, then try report the problem using contact support that provided in apps. The problem solving from support was not helping, they say it occure because network problem or expired session, come on i'm already tried with many isp from broadband to fiber optic and still got same result. Not very pleasant for using their services.",every time update newest version got bug really annoying already tried fresh install clear cache still got result try report problem using contact support provided apps problem solving support helping say occure network problem expired session come im already tried many isp broadband fiber optic still got result pleasant using service,1,negative,negative
Loading need to long time,loading need long time,5,positive,positive
"Every time I login I got this message: ""Your session has expired. You are now logged out automatically"". How such popular bank have this bug and preventing customer from login?",every time login got message session expired logged automatically popular bank bug preventing customer login,1,negative,negative
"Data sering tersebar. Jdny banyak scammers dan penipu yg tau data kita, oleh karena itu saya kena tipu😭😭.lain kali cari cara agar data tdk tersebar",data sering tersebar jdny banyak scammer dan penipu yg tau data kita oleh karena itu saya kena tipulain kali cari cara agar data tdk tersebar,1,negative,negative
I shouldn't have to just live in Indonesia...,shouldnt live indonesia,1,negative,negative
"Intall baru, user lama nga bisa masuk. Stelah login, otp, create pin lalu error session expired. Trus ngulang dari awal.. ampe 10x, ampe batte abis gtu aja trus..",intall baru user lama nga bisa masuk stelah login otp create pin lalu error session expired trus ngulang dari awal ampe x ampe batte abis gtu aja trus,2,negative,negative
"Pame jenius karena kantor harus menggunakan jenius untuk penggajian, tapi jenius memberika pengalaman buruk, transfer nyangkut dan lama di prosesnya, hati² yg pake bank jenius, hari sial gk ada di kalender",pame jenius karena kantor harus menggunakan jenius untuk penggajian tapi jenius memberika pengalaman buruk transfer nyangkut dan lama di prosesnya hati yg pake bank jenius hari sial gk ada di kalender,1,negative,negative
Charge monthly fee for improvement??? I see no improvement huhh. what improvement,charge monthly fee improvement see improvement huhh improvement,1,negative,negative
"Terimakasih jenius, trully jenius. Pendaftaran susah amat, ditolak 2 kali Persyaratan sudah lengkap, vid call sampe 5 kali Telpon call center malah di cleansing data, disuru register ulang Gitu aja terus",terimakasih jenius trully jenius pendaftaran susah amat ditolak kali persyaratan sudah lengkap vid call sampe kali telpon call center malah di cleansing data disuru register ulang gitu aja terus,1,negative,negative
"Tampilan aja bagus. Performa ga bagus. Percuma komen, gak dibaca kayanya.",tampilan aja bagus performa ga bagus percuma komen gak dibaca kayanya,1,negative,negative
"Semenjak Updetan Terbaru, Tampilannya sudah oke, tapi ""semakin lama loading page"" nya.. please fix that first sebelum rubah tampilan sana sini.",semenjak updetan terbaru tampilannya sudah oke tapi semakin lama loading page nya please fix first sebelum rubah tampilan sana sini,4,positive,positive
"Aplikasinya bagus, mudah digunakan UI-nya juga simple, proses aktivasinya cepat👍",aplikasinya bagus mudah digunakan uinya juga simple prose aktivasinya cepat,5,positive,positive
