content,cleaned_content,score,sentiment,label_used,text_source
"aplikasi yang cukup memudahkan orang untuk transfer, nabung dsb. aktivasinya juga gampang banget",aplikasi yang cukup memudahkan orang untuk transfer nabung dsb aktivasinya juga gampang banget,5,positive,positive,score_augmented
"aplikasi yang mudah dan lengkap, user frindly, ui dan ux yang bagus, gampang sekali menggunakan e wallet jenius ini, topup juga mudah pokonga bagus sekali aplikasi ini",aplikasi yang mudah dan lengkap user frindly ui dan ux yang bagus gampang sekali menggunakan e wallet jenius ini topup juga mudah pokonga bagus sekali aplikasi ini,5,positive,positive,score_augmented
"used to like this app before. but since I logged out from this app, I cant login anymore. 'your session had expired' and just force closed. gosh, it irritates me so much. I've been doing the same step so many times",used like app since logged app cant login anymore session expired force closed gosh irritates much ive step many time,2,negative,negative,score_augmented
Nice product,nice product,5,positive,positive,score_augmented
worst app and service ever,worst app service ever,1,negative,negative,score_augmented
Can everything work faster on this app?,everything work faster app,3,neutral,neutral,score_augmented
My first digital banking... So far it's Ok👌,first digital banking far ok,4,positive,positive,score_augmented
"Buka rekening mau yang gampang ?, ya jenius jawabannya. cuma vcall aja udah bisa aktif buat digunakan, keren banget sih buat anak jaman sekarang yang nyari simple tanpa harus ke bank",buka rekening mau yang gampang ya jenius jawabannya cuma vcall aja udah bisa aktif buat digunakan keren banget sih buat anak jaman sekarang yang nyari simple tanpa harus ke bank,5,positive,positive,score_augmented
works properly but slow response,work properly slow response,4,positive,positive,score_augmented
Pelayanan keluhan teramat SANGAT BURUK,pelayanan keluhan teramat sangat buruk,1,negative,negative,score_augmented
bad,bad,2,negative,negative,score_augmented
"Habis update versi terbaru malah close sndiri mulu, gak bisa lihat e card number. Bikin rempong. CS nya jelek bgt dan lama pelayanannya.",habis update versi terbaru malah close sndiri mulu gak bisa lihat e card number bikin rempong c nya jelek bgt dan lama pelayanannya,1,negative,negative,score_augmented
Very slow,slow,1,negative,negative,score_augmented
Banyak ngebugnya,banyak ngebugnya,1,negative,negative,score_augmented
"Biometric login error terus. Sesekali crash. Login gagal terus, session expired terus.",biometric login error terus sesekali crash login gagal terus session expired terus,2,negative,negative,score_augmented
mantap euy,mantap euy,5,positive,positive,score_augmented
Aplikasi menabung modern yang mudah dipabami,aplikasi menabung modern yang mudah dipabami,5,positive,positive,score_augmented
"Gue & orang-orang di sekeliling gue aja udah capek banget pake Jenius, bahkan banyak yang uninstall & pindah ke digital bank sebelah. Jadi kalo you guys baru mau install, gue saranin pikirin lagi deh.",gue orangorang di sekeliling gue aja udah capek banget pake jenius bahkan banyak yang uninstall pindah ke digital bank sebelah jadi kalo guy baru mau install gue saranin pikirin lagi deh,1,negative,negative,score_augmented
Aplikasinya nge bug banget.. lemot sekali dan sering tidak responsive. Padahal kebutuhan buat transaksi finansial itu penting tapi aplikasinya sering nge lag. Mungkin terlalu besar memorinya. Mohon diperbaiki dan ditingkatkan lagi ya,aplikasinya nge bug banget lemot sekali dan sering tidak responsive padahal kebutuhan buat transaksi finansial itu penting tapi aplikasinya sering nge lag mungkin terlalu besar memorinya mohon diperbaiki dan ditingkatkan lagi ya,1,negative,negative,score_augmented
"Menurut aku aplikasi ini simple, untuk menabung atau top up Spotify atau netflix, dan juga pembayaran Online lainnya. Good job.",menurut aku aplikasi ini simple untuk menabung atau top spotify atau netflix dan juga pembayaran online lainnya good job,5,positive,positive,score_augmented
"Ngga ngerti deh, setiap selesai masukkan pin, kelempar lagi keluar dibilangnya session expired. Di update juga sudah... capek lah, lagi urgent dari pagi ga bisa log in...",ngga ngerti deh setiap selesai masukkan pin kelempar lagi keluar dibilangnya session expired di update juga sudah capek lah lagi urgent dari pagi ga bisa log,1,negative,negative,score_augmented
