reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
6317e22d-bd23-4017-a0db-5adcbf92ed25,Wuther Wave,https://play-lh.googleusercontent.com/a/ACg8ocIEmJXA8mcY_JNrt-2bvTgSJkWA8xnJFYc9pwCI1VkLzgWWdg=mo,optimalisasi apanya ya?? kok saya mau bukan dream saver malah bad code 400 error...,1,0,4.66.1,2026-03-20 13:18:08,"Hi, Wuther Wave. Mohon maaf atas kendala fitur Dream Saver yang kamu alami, kami sarankan dapat menghubungi layanan SMBCI Care 1500365 untuk segera dibantu tindak lanjut ya.",2026-03-20 13:20:51,4.66.1
99ced3b3-b273-4861-a160-3c96d27e7d67,Avin Riyan,https://play-lh.googleusercontent.com/a-/ALV-UjXeXt_dqaB5_nAo_XVK--X4UaYr1w7VuTgxXv4g7XgYY8uXxNoe,"Kartu debit saya kena potongan Insufficient funds fee 5000, sudah 8x, tapi tidak ada solusi dari Jenius",1,0,4.64.0,2026-03-19 04:24:31,"Mohon maaf atas ketidaknyamanannya Avin Riyan, Untuk dibantu pengecekan bisa menghubungi layanan SMBC Care di 1500365.",2026-03-19 04:26:44,4.64.0
ee5088de-3a3f-440b-b9b0-8923c04e5bf5,Nunu Nugh,https://play-lh.googleusercontent.com/a/ACg8ocJf625RHbwDjTHOnXNVtcBBlCA3mTNDICHruvd0OuS36C0iS5Q=mo,"App tidak ada kendala. Tolong service cs dari app ditingkatkan, dana saya masih belum balik walau cuma 40k, cs main tutup chat aja belum selesai",5,0,,2026-03-19 02:43:12,Mohon maaf atas ketidaknyamanannya Nunu Nugh. Informasi yang kamu sampaikan menjadi perhatian kami untuk dijadikan masukan terhadap Jenius agar dapat menyediakan/meningkatkan layanan dan fasilitas yang lebih baik lagi ya. Perhal kendala kamu bisa menghubungi layanan SMBC Care di 1500365 untuk di bantu pengecekan.,2026-03-19 02:46:32,
ad5a6db6-a6e6-460a-821a-f6581a730efc,A. F Ahmad,https://play-lh.googleusercontent.com/a-/ALV-UjUE8GHIA9KJmvU5Nrtn_atY8BUnxFVf9R_WX77IINhxBGNQ_W4c,"Sucks, heavy apps, sluggish, slow qris scan, cant withdraw flexi saver, be wary, try other bank apps instead",1,0,4.66.0,2026-03-17 21:31:40,"Hai Adhlan Fadhilla Ahmad. Terima kasih atas ulasan yang kamu berikan kepada Jenius. Mohon maaf atas ketidaknyamanan yang kamu alami, informasi yang kamu sampaikan menjadi perhatian dan masukan bagi kami untuk dapat menyediakan dan meningkatkan layanan serta fasilitas yang lebih baik lagi kedepannya ya.",2026-03-17 21:32:25,4.66.0
49f9099d-42f6-471f-b8bc-b04a63055c6c,Star Side,https://play-lh.googleusercontent.com/a-/ALV-UjWRhx2VePYHIIEFUYrEhtaNbh4XJjpEggPlqMW1OVN0O3IGua_e,Update: the problem has been solved. Now I can use it properly,5,47,4.66.0,2026-03-17 14:13:01,Hi Kak. Terima kasih atas ulasan dan apresiasi kamu terhadap Jenius ya. Semoga transaksi dan aktivitas perbankan kamu bersama Jenius selalu berjalan dengan baik. Have a great day!,2026-03-17 14:14:41,4.66.0
1e3af379-721c-4440-a060-01f2dbf76def,Rangga Hakim,https://play-lh.googleusercontent.com/a-/ALV-UjUax8Fj5XZmKGihYg4UVrKDroyZ2mX4h35ApDmRNicgMw4pVDy7XQ,"Can you guys repair the slow problem? Doing things in this app is like playing genshin impact with 4K //update: it's getting worse, I couldn't even scan qris rn",3,2,4.66.0,2026-03-15 18:09:46,Mohon maaf atas ketidaknyamanan yang kamu alami ya Rangga. Informasi yang kamu sampaikan menjadi perhatian kami untuk dijadikan masukan terhadap Jenius agar dapat menyediakan/meningkatkan layanan dan fasilitas yang lebih baik lagi ya.,2026-03-15 18:25:15,4.66.0
343787b8-1d0d-4b14-81a4-01808c5bdebb,Blue,https://play-lh.googleusercontent.com/a/ACg8ocJ4Z1ID3sq3rGhTGZeRa24NEJ0DNtIDJcvpJI7BnGGjJZhJmA=mo,bad cs,1,4,4.64.0,2026-03-15 16:41:27,Mohon maaf atas ketidaknyamanan yang dialami ya. Informasi yang kamu sampaikan menjadi perhatian kami untuk dijadikan masukan terhadap Jenius agar dapat menyediakan/meningkatkan layanan dan fasilitas yang lebih baik lagi ya.,2026-03-15 16:43:36,4.64.0
b26d5c08-a4ee-4fbb-9bcf-d77ebe9b0e8a,Leonardus Bagus,https://play-lh.googleusercontent.com/a/ACg8ocJR6YFll5M6_NJfGSO5zNSZ5dXdtP9_K_BqFnvEDRg2v5dUyw=mo,I can't even login,1,0,,2026-03-14 18:17:50,"Hi Leonard Bagus. Previously we apologize for the inconvenience you experienced. Regarding this issue, you can contact SBMCI Care by phone at 1500365 or email Jenius-help@smbci.com for further assistance in checking. Hopefully, the issue will be resolved quickly and properly.",2026-03-14 18:26:54,
56fa2ea8-6c5f-4025-a28e-70728730b465,easyardian,https://play-lh.googleusercontent.com/a-/ALV-UjVW2F678DNKyxp3VfGHhvBd6hSQ4HF-zwzjn9LVxWmrgz9nOAu5,"lemot min, beberapa kali gagal bahkan gabisa untuk pembayaran scan qris. mohon diperbaiki untuk kenyamanan nasabah. terimakasih",2,0,4.59.0,2026-03-14 14:45:52,"Hi, Easyardian. Mohon maaf atas ketidaknyamanannya. Informasi yang kamu sampaikan menjadi perhatian kami untuk dijadikan masukan terhadap Jenius agar dapat menyediakan/meningkatkan layanan dan fasilitas yang lebih baik lagi ya",2026-03-14 14:49:50,4.59.0
3eeef072-b135-49fb-8ac8-7afa5bfbd457,Iron Eagle,https://play-lh.googleusercontent.com/a/ACg8ocJWpXfJtdurmd657SA9W0IeSIjU5QOvlceII4EEaWqHKNEoVw=mo,"awal2 pakai tidak begini beberapa tahun lalu.....sekarang mau scan qris aja kaga bisa2 , aplikasi lemot sekali ...ampun pakai aplikasi jenius......kaga ada perubahan perbaikan.....mau bayar2 jadi takut kalau mengandalkan jenius qris doang",1,1,4.64.0,2026-03-14 09:11:12,"Hi. Mohon maaf atas ketidaknyamanannya. Mohon kesediaan kamu untuk update aplikasi Jenius ke versi terbaru, clear cache, memastikan koneksi internet dalam keadaan stabil/menggunakan jaringan lain dan mencoba pengecekan kembali secara berkala. Apabila masih terkendala bisa menghubungi layanan live chat di aplikasi Jenius. Terima kasih.",2026-03-14 09:14:37,4.64.0
d7089816-fc6e-47d5-a307-d9eeacd68bd7,SITI FATIMAH WALUYO,https://play-lh.googleusercontent.com/a/ACg8ocKOE9Hh1osAjRd2z-PIhPTEwAJ6_TxRzrhuOBTBtn8k5XnBlw=mo,Alhamdulillah,5,0,4.64.0,2026-03-13 03:10:59,Hi Siti Fatimah Waluyo. Terima kasih atas feedback positif yang kamu berikan. Jenius akan selalu berusaha meningkatkan performa produknya serta memberikan layanan terbaik bagi seluruh nasabah. Semoga dengan Jenius dapat mempermudah transaksi dan pengaturan finansial kamu ya.,2026-03-13 03:12:33,4.64.0
